Date,Close,Close_Prev,Close_Diff,Open,Open_Prev,Open_Diff,High,High_Prev,High_Diff,Low,Low_Prev,Low_Diff
2020-10-01,9.43000030517578,7.261222441767208,-22.99870406386105,9.369999885559082,7.2150213410952295,-22.99870406386105,9.43000030517578,7.33383466618488,-22.228691104499664,9.3100004196167,7.142871127684277,-23.2774349544191
2020-10-02,9.380000114440918,7.291949488162764,-22.2606673859578,9.43000030517578,7.330819302745794,-22.2606673859578,9.479999542236328,7.404127495773252,-21.897385513727347,9.31999969482422,7.219029993281136,-22.542594102334995
2020-10-05,9.380000114440918,7.301608588855186,-22.157691900088125,9.470000267028809,7.371666784923042,-22.157691900088125,9.470000267028809,7.445383452772273,-21.37926881908901,9.329999923706056,7.228592502966634,-22.523123664771727
2020-10-06,9.369999885559082,7.293581747188993,-22.160279228714153,9.380000114440918,7.301365897427104,-22.16027922871415,9.479999542236328,7.374379556401375,-22.211182357697016,9.31999969482422,7.220645929717103,-22.5252557279908
2020-10-07,9.399999618530272,7.2851632360705025,-22.49826030089172,9.390000343322754,7.277413623827375,-22.49826030089172,9.4399995803833,7.358014868431208,-22.054923776464367,9.300000190734863,7.204639487589101,-22.530759786792995
2020-10-08,9.399999618530272,7.320850914864784,-22.118604128098582,9.43000030517578,7.344215868395461,-22.118604128098582,9.460000038146973,7.4176580270794155,-21.589238930569937,9.380000114440918,7.247642405716136,-22.73302433591578
2020-10-09,9.359999656677246,7.343666170203781,-21.54202521829209,9.4399995803833,7.406432490170462,-21.542025218292096,9.4399995803833,7.480496815072167,-20.757445470475016,9.329999923706056,7.2702295085017425,-22.076853505333503
2020-10-13,9.380000114440918,7.294232224611358,-22.236331176781434,9.399999618530272,7.309784572737689,-22.236331176781434,9.420000076293944,7.382882418465066,-21.62545266804636,9.3100004196167,7.221289902365244,-22.43512806777563
2020-10-14,9.460000038146973,7.328947108560052,-22.52698647984733,9.380000114440918,7.266968756851148,-22.52698647984733,9.460000038146973,7.402236579645653,-21.7522563446458,9.350000381469728,7.1942990692826365,-23.05562806670428
2020-10-15,9.43000030517578,7.345619591048047,-22.10371841646381,9.449999809265137,7.3611984610688035,-22.103718416463813,9.449999809265137,7.434810445679491,-21.324755600628453,9.350000381469728,7.272163395137566,-22.222854562125125
2020-10-16,9.489999771118164,7.3032113461636,-23.043081956754406,9.4399995803833,7.264732740358305,-23.043081956754406,9.5,7.376243459625236,-22.355332003944884,9.359999656677246,7.192085412954722,-23.161477812405426
